"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "JSON", "XML", "HTML", "GLSL", "comment", "blank", "total"
"c:\Users\nightscratch\Desktop\webgl\rapid.js\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\nightscratch\Desktop\webgl\rapid.js\demo\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\nightscratch\Desktop\webgl\rapid.js\demo\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\nightscratch\Desktop\webgl\rapid.js\index.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\nightscratch\Desktop\webgl\rapid.js\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\nightscratch\Desktop\webgl\rapid.js\package.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\nightscratch\Desktop\webgl\rapid.js\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\const.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\interface.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\math.ts", "TypeScript", 0, 169, 0, 0, 0, 0, 0, 59, 15, 243
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\regions\region.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\regions\sprite_region.ts", "TypeScript", 0, 132, 0, 0, 0, 0, 0, 8, 10, 150
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\render.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 2, 13, 108
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\shader\graphic.frag", "GLSL", 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\shader\graphic.vert", "GLSL", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\shader\sprite.frag", "GLSL", 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\shader\sprite.vert", "GLSL", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\texture.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 58, 10, 147
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\webgl\glshader.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\nightscratch\Desktop\webgl\rapid.js\src\webgl\utils.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 22, 8, 78
"c:\Users\nightscratch\Desktop\webgl\rapid.js\tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 2, 3, 24
"c:\Users\nightscratch\Desktop\webgl\rapid.js\vite.config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 1, 661, 19, 24, 1, 30, 34, 153, 88, 1011
