"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "GLSL", "YAML", "PostCSS", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\projects\Rapid.js\.claude\settings.local.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\projects\Rapid.js\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 15, 64
"d:\projects\Rapid.js\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 18, 63
"d:\projects\Rapid.js\docs\api\assets\hierarchy.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\projects\Rapid.js\docs\api\assets\highlight.css", "PostCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 6, 79
"d:\projects\Rapid.js\docs\api\assets\icons.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"d:\projects\Rapid.js\docs\api\assets\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\Rapid.js\docs\api\assets\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 54, 1, 61
"d:\projects\Rapid.js\docs\api\assets\navigation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\projects\Rapid.js\docs\api\assets\search.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\projects\Rapid.js\docs\api\assets\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1480, 0, 0, 0, 25, 129, 1634
"d:\projects\Rapid.js\docs\api\classes\BaseTexture.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"d:\projects\Rapid.js\docs\api\classes\Color.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 2, 91
"d:\projects\Rapid.js\docs\api\classes\CustomGlShader.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 39
